TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
DATE: 07/14/2023,,,,,,,,,,,,,,,,,,,
DESIGN: ek_ra8d1,,,,,,,,,,,,,,,,,,,
TEMPLATE: J:\ACLib\ree_site\cdssetup\bom\ree_all_v1.0.bom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Qty,CATEGORY,PART_NUMBER,VALUE,DESCRIPTION,JEDEC_TYPE,Ref Des,REMARKS,MECH_KIT1,TOLERANCE,OPERATING_VOLTAGE,POWER_RATING,MANUFACTURER_PRIMARY,MANUFACTURER_PRIMARY_ORDER_CODE,DISTRIBUTOR_PRIMARY,DISTRIBUTOR_PRIMARY_ORDER_CODE,MANUFACTURER_SECONDARY,MANUFACTURER_SECONDARY_ORDER_CODE,DISTRIBUTOR_SECONDARY,DISTRIBUTOR_SECONDARY_ORDER_CODE
1,"CONNECTOR,Board-Board,Board-Cable",160-10007399,HDR2way2.00mm,ConnectorHeaderThroughHole2position2.00mm,N021PAEN-RC,J32,DNF, , , ,?,SullinsConnectorSolutions,NRPN021PAEN-RC,Digi-KeyCorporation,S5800-02-ND, , , , 
1,"CONNECTOR,Board-Board,Board-Cable",160-10007400,HDR3way 2.00mm,"header, 3way component",N031PAEN-RC,J33,DNF, , , ,?,SullinsConnectorSolutions,NRPN031PAEN-RC,Digi-KeyCorporation,S5800-03-ND, , , , 
1,"CONNECTOR, Interface",161-10004086,RJ45_J0011D21BNL,"Ethernet, Connector, RJ45, Coil",PUL_RJ45_B,J5, , , , ,?,PULSE,J0011D21BNL,Digikey,553-1485-ND, , , , 
6,"CONNECTOR, Board-Board, Board-Cable",160-10004280,header 20way,"header, 20way,2row,vertical,",2X10X2_54,"J51,J52,J53,J54,J55,J56", , , , ,?,Wuerth Elektronik,613 020 211 21, , , , , , 
1,"CONNECTOR, Board-Board, Board-Cable",160-10004289,header 40way,"header, 40way,2row,vertical,",2X20X2_54,J57, , , , ,?,Wuerth Elektronik,613 040 211 21, , , , , , 
1,"CONNECTOR,Board-Board,Board-Cable",160-10007974,ERF8-013-05.0-L-DV-TR,"VerticalReceptacle, SMT, 26pos, 0.80mm",SAM_ERF8_013_05_0_L_DV_X,J58, , , , ,?,Samtec,ERF8-013-05.0-L-DV-TR,Mouser,200-ERF801305.0LDVTR, , , , 
1,"CONNECTOR, Board-Board, Board-Cable",160-10004300,socket 20way,"socket, 20way,2row,vertical,",2X10X2_54_CP,J59, , , , ,?,Wuerth Elektronik,613 020 218 21, , , , , , 
1,"CONNECTOR, Board-Board, Board-Cable",160-10004317,header 2way,"header, 2way,1row,vertical,",1X2X2_54,J60,DNF, , , ,?,Wuerth Elektronik,613 002 111 21, , , , , , 
1,"PASSIVE,Inductor",152-10006055,2.2u,Festinduktoren 0805 2.2uH,EIA0805,L2, , ,30%, ,?,Murata,LQM21PN2R2NGC,Mouser,81-LQM21PN2R2NGCDCD, , , , 
1,"DIODE,LED",140-10007407,BLUE,LEDBLUECLEAR0603SMD,SMCW-0603_B,LED1, , , , ,?,WurthElektronik,150060BS75000,Digi-KeyCorporation,732-4966-1-ND, , , , 
1,"DIODE,LED",140-10007406,GREEN,LEDGREENCLEAR0603SMD,SMCW-0603_G,LED2, , , , ,?,WurthElektronik,150060GS75000,Digi-KeyCorporation,732-4971-1-ND, , , , 
1,"DIODE,LED",140-10007408,RED,LEDREDCLEAR0603SMD,SMCW-0603_R,LED3, , , , ,?,WurthElektronik,150060RS75000,Digi-KeyCorporation,732-4978-1-ND, , , , 
